vendedor,precio,habitaciones,metros,planta,garage,ascensor,ubicacion,numero_planta,valor_garage,precio_total
Agencia,1297000,4,126,Planta 6ª exterior con ascensor,True,True,Exterior,6.0,0,1297000
Agencia,2900000,4,330,Planta 4ª exterior con ascensor,False,True,Exterior,4.0,0,2900000
Agencia,3800000,4,210,No especificado,True,False,No especificado,,0,3800000
Agencia,3490000,4,307,Planta 3ª exterior con ascensor,True,True,Exterior,3.0,0,3490000
Agencia,1800000,4,171,Planta 1ª exterior con ascensor,True,True,Exterior,1.0,0,1800000
Agencia,995000,4,140,Planta 4ª exterior con ascensor,False,True,Exterior,4.0,0,995000
Particular,650000,4,146,Planta 7ª exterior con ascensor,False,True,Exterior,7.0,0,650000
Agencia,750000,4,120,Planta 6ª exterior con ascensor,True,True,Exterior,6.0,0,750000
Particular,519000,4,105,Planta 1ª exterior con ascensor,False,True,Exterior,1.0,0,519000
Agencia,6200000,4,373,Planta 6ª exterior con ascensor,False,True,Exterior,6.0,0,6200000
Particular,830000,4,156,Planta 1ª exterior con ascensor,False,True,Exterior,1.0,0,830000
Agencia,1850000,4,220,Planta 1ª exterior con ascensor,True,True,Exterior,1.0,0,1850000
Agencia,1190000,4,158,Planta 3ª exterior con ascensor,True,True,Exterior,3.0,0,1190000
Particular,2319000,4,180,Planta 4ª exterior con ascensor,True,True,Exterior,4.0,0,2319000
Particular,670000,4,132,Bajo exterior con ascensor,True,True,Exterior,0.0,0,670000
Agencia,1765000,4,235,Planta 3ª exterior con ascensor,False,True,Exterior,3.0,0,1765000
Agencia,869000,4,106,Planta 8ª exterior con ascensor,False,True,Exterior,8.0,0,869000
Particular,1990000,4,187,Planta 5ª exterior con ascensor,False,True,Exterior,5.0,0,1990000
Particular,299990,4,117,Planta 2ª exterior con ascensor,False,True,Exterior,2.0,0,299990
Agencia,1590000,4,325,No especificado,True,False,No especificado,,0,1590000
Agencia,1045000,4,136,Planta 5ª exterior con ascensor,True,True,Exterior,5.0,0,1045000
Agencia,6990000,4,383,Planta 1ª exterior con ascensor,False,True,Exterior,1.0,0,6990000
Agencia,3800000,4,200,Planta 2ª exterior con ascensor,False,True,Exterior,2.0,0,3800000
Particular,1350000,4,183,No especificado,True,False,No especificado,,0,1350000
Particular,1200000,4,156,Planta 5ª exterior con ascensor,True,True,Exterior,5.0,0,1200000
Agencia,1090000,4,172,Planta 4ª exterior con ascensor,True,True,Exterior,4.0,0,1090000
Agencia,275000,4,90,Planta 5ª exterior con ascensor,False,True,Exterior,5.0,0,275000
Agencia,499000,4,96,Planta 1ª exterior sin ascensor,False,False,Exterior,1.0,0,499000
Particular,2140000,4,255,Planta 7ª exterior con ascensor,True,True,Exterior,7.0,0,2140000
Particular,915000,4,125,Planta 1ª exterior con ascensor,False,True,Exterior,1.0,0,915000
Particular,1400000,4,210,Planta 7ª exterior con ascensor,False,True,Exterior,7.0,0,1400000
Particular,2500000,4,235,Planta 1ª exterior con ascensor,True,True,Exterior,1.0,0,2500000
Particular,1249000,4,205,Planta 1ª exterior con ascensor,True,True,Exterior,1.0,0,1249000
Particular,357000,4,101,Bajo exterior sin ascensor,False,False,Exterior,0.0,0,357000
Particular,280000,4,113,Bajo exterior sin ascensor,False,False,Exterior,0.0,0,280000
Agencia,1290000,4,132,Planta 2ª exterior con ascensor,True,True,Exterior,2.0,0,1290000
Agencia,369000,4,135,Planta 5ª exterior con ascensor,False,True,Exterior,5.0,0,369000
Agencia,575000,4,99,Planta 2ª exterior con ascensor,True,True,Exterior,2.0,0,575000
Agencia,685000,4,116,Planta 2ª exterior con ascensor,False,True,Exterior,2.0,0,685000
Agencia,809900,4,115,Planta 9ª exterior con ascensor,True,True,Exterior,9.0,0,809900
Agencia,3600000,4,248,Planta 1ª exterior sin ascensor,True,False,Exterior,1.0,0,3600000
Agencia,4950000,4,300,Planta 3ª exterior con ascensor,False,True,Exterior,3.0,0,4950000
Agencia,2990000,4,264,Planta 3ª exterior con ascensor,True,True,Exterior,3.0,0,2990000
Particular,898000,4,173,Planta 14ª exterior con ascensor,False,True,Exterior,14.0,0,898000
Agencia,1800000,4,300,No especificado,True,False,No especificado,,0,1800000
Agencia,1200000,4,280,Planta 3ª exterior con ascensor,True,True,Exterior,3.0,0,1200000
Agencia,1800000,4,171,Planta 1ª exterior con ascensor,True,True,Exterior,1.0,0,1800000
Particular,2400000,4,228,Planta 3ª exterior con ascensor,True,True,Exterior,3.0,0,2400000
Agencia,1495000,4,167,Planta 6ª exterior con ascensor,False,True,Exterior,6.0,0,1495000
Agencia,1595000,4,324,No especificado,True,False,No especificado,,0,1595000
Agencia,1050000,4,114,Planta 7ª interior con ascensor,True,True,Interior,7.0,0,1050000
Particular,2750000,4,315,Planta 3ª exterior con ascensor,True,True,Exterior,3.0,0,2750000
Particular,2190000,4,225,Planta 1ª exterior con ascensor,False,True,Exterior,1.0,0,2190000
Agencia,5000000,4,250,Planta 3ª exterior con ascensor,True,True,Exterior,3.0,0,5000000
Particular,233450,4,113,Planta 4ª,False,False,No especificado,4.0,0,233450
Particular,1000000,4,120,Planta 6ª interior con ascensor,False,True,Interior,6.0,0,1000000
Agencia,7200000,4,353,Planta 6ª exterior con ascensor,False,True,Exterior,6.0,0,7200000
Particular,929000,4,118,Planta 2ª interior con ascensor,False,True,Interior,2.0,0,929000
Agencia,3475000,4,193,Planta 4ª exterior con ascensor,False,True,Exterior,4.0,0,3475000
Particular,2250000,4,192,Planta 1ª exterior con ascensor,True,True,Exterior,1.0,0,2250000
Particular,580000,4,145,Planta 2ª exterior con ascensor,True,True,Exterior,2.0,0,580000
Particular,1350000,4,243,Planta 4ª exterior con ascensor,True,True,Exterior,4.0,0,1350000
Particular,860000,4,136,Planta 3ª exterior con ascensor,False,True,Exterior,3.0,0,860000
Particular,990000,4,168,Planta 2ª exterior con ascensor,False,True,Exterior,2.0,0,990000
Agencia,580000,4,116,Planta 6ª exterior con ascensor,False,True,Exterior,6.0,0,580000
Particular,1145000,4,197,Planta 3ª exterior con ascensor,True,True,Exterior,3.0,30000,1175000
Agencia,5985000,4,300,Planta 3ª exterior con ascensor,False,True,Exterior,3.0,0,5985000
Agencia,5985000,4,300,Planta 3ª exterior con ascensor,False,True,Exterior,3.0,0,5985000
Particular,820000,4,115,Planta 1ª exterior con ascensor,False,True,Exterior,1.0,0,820000
Agencia,270000,4,92,Planta 3ª exterior sin ascensor,False,False,Exterior,3.0,0,270000
Particular,1195000,4,154,Planta 5ª exterior con ascensor,True,True,Exterior,5.0,0,1195000
Particular,4000000,4,235,Planta 6ª exterior con ascensor,False,True,Exterior,6.0,0,4000000
Particular,2450000,4,265,Planta 3ª exterior con ascensor,False,True,Exterior,3.0,0,2450000
Agencia,1800000,4,197,Planta 13ª exterior con ascensor,False,True,Exterior,13.0,0,1800000
Particular,625000,4,105,Planta 6ª exterior con ascensor,False,True,Exterior,6.0,0,625000
Agencia,2950000,4,235,Planta 2ª exterior con ascensor,False,True,Exterior,2.0,0,2950000
Particular,525000,4,105,Planta 6ª exterior con ascensor,True,True,Exterior,6.0,0,525000
Agencia,1199000,4,185,Planta 4ª exterior con ascensor,True,True,Exterior,4.0,0,1199000
Agencia,581900,4,62,Planta 2ª interior con ascensor,False,True,Interior,2.0,0,581900
Agencia,469000,4,133,Planta 2ª exterior con ascensor,True,True,Exterior,2.0,0,469000
Particular,1890000,4,166,Planta 10ª exterior con ascensor,False,True,Exterior,10.0,0,1890000
Agencia,1990000,4,165,Planta 4ª exterior con ascensor,False,True,Exterior,4.0,0,1990000
Agencia,1800000,4,190,Planta 2ª interior con ascensor,False,True,Interior,2.0,0,1800000
Agencia,990000,4,165,Planta 1ª exterior con ascensor,True,True,Exterior,1.0,0,990000
Particular,1425000,4,193,Planta 1ª exterior con ascensor,True,True,Exterior,1.0,0,1425000
Agencia,1228000,4,173,Planta 4ª exterior con ascensor,True,True,Exterior,4.0,25000,1253000
Particular,890000,4,140,Planta 1ª exterior con ascensor,False,True,Exterior,1.0,0,890000
Particular,1190000,4,375,Planta 2ª exterior sin ascensor,False,False,Exterior,2.0,0,1190000
